Translation #,Category,Wireframe Ref,KMCO Internal Category Name,KMCO Internal Field Code,Field Name,Original KMCO US English Copy,FOX Copy Edit - US English,Australia / ME English (FX),English Description,Russian,German,Turkish,Italian,Bulgarian,Serbian,Slovenian,Japanese,Chinese (Traditional),UK / Philippines (FOX),ME Arabic,Polish,Netherlands,Spanish (ES),Brazil,South East Asia - English (FOX Movies Premium)
AT603,Canvas,0,G/Rails,G,saved_to_album,A full size cover image has been saved in your Facebook Photo Albums.,A full size cover image has been saved in your Facebook Photo Albums.,A full size cover image has been saved in your Facebook Photo Albums.,A full size cover image has been saved in your Facebook Photo Albums.,Изображение для обложки сохранено в ваших альбомах на Facebook,Ein Coverbild wurde in deinem Facebook Fotoalbum gespeichert.,Tam boyut kapak fotoğrafın Facebook Fotoğraf Albümleri'ne eklendi!,Una foto di copertina a dimensioni intere è stata salvata nei tuoi album di Facebook.,Снимка за заглавна страница в пълен размер е запазена в албумите ви във Facebook,Naslovna strana je u punoj veličini sačuvana u vašem Fejsbuk foto-albumu.,Preverjanje pristnosti ...,フェイスブックにフルサイズのカバー写真がセーブされました,已儲存一張全尺寸的封面照在你的Facebook相簿中。,A full size cover image has been saved in your Facebook Photo Albums.,تم حفظ صورة غلاف كاملة الحجم في ألبوم صورك على الفيسبوك.,Pełnowymiarowe zdjęcie w tle zostało zapisane w twoim albumie na facebooku,Een coverfoto is opgeslagen in je fotoalbums op Facebook.,Una imagen a tamaño completo de portada ha sido guardada en tus álbumes de fotos de Facebook.,Uma imagem de tamanho inteiro para a capa foi salva em seus álbuns de foto do Facebook.,A full size cover image has been saved in your Facebook Photo Albums.
AT604,Canvas,0,G/Rails,G,saved_to_fb_album,A full-sized image has been saved in your Facebook Photo Albums.,A full size image has been saved in your facebook photo albums.,A full size image has been saved in your facebook photo albums.,A full size image has been saved in your facebook photo albums.,Изображение сохранено в ваших альбомах на Facebook,Ein Bild wurde in deinem Facebook Fotoalbum gespeichert.,Tam boyut fotoğrafın Facebook Fotoğraf Albümleri'ne eklendi!,Una foto a dimensioni intere è stata salvata nei tuoi album di Facebook.,Снимка в пълен размер е запазена в албумите ви във Facebook,Fotografija u punoj veličini je sačuvana u vašem Fejsbuk foto-albumu.,Všečkanje fotografije ...,フェイスブックのアルバムにフルサイズの写真がセーブされました,已儲存一張全尺寸的照片在你的Facebook相簿中。,A full size image has been saved in your facebook photo albums.,تم حفظ صورة كاملة الحجم في ألبوم صورك على الفيسبوك.,Pełnowymiarowe zdjęcie zostało zapisane w twoim albumie na facebooku,Een afbeelding is opgeslagen in je Facebook fotoalbums.,Una imagen a tamaño completo ha sido guardada en tus álbumes de fotos de Facebook.,Uma imagem de tamanho inteiro foi salva em seus álbuns de foto do Facebook.,A full size image has been saved in your facebook photo albums.
AT605,Canvas,0,G/Rails,G,downloaded,Your photo has been downloaded successfully to your computer.,Your picture has been downloaded to your computer.,Your picture has been downloaded to your computer.,Your picture has been downloaded to your computer.,Фотография загружена на ваш компьютер.,Dein Foto wurde auf deinen Computer heruntergeladen.,Fotoğrafın bilgisayarına indi!,La tua foto è stata scaricata nel tuo computer.,Вашата снимка е изтеглена на компютъра ви,Sačuvali ste fotografiju na svom računaru.,Označevanje ...,あなたの写真がコンピューターにダウンロードされました,你的照片已儲存到電腦中。,Your picture has been downloaded to your computer.,تم تنزيل صورتك بنجاح إلى جهاز الكمبيوتر الخاص بك.,Twoje zdjęcie zostało zapisane na komputerze,Je foto is succesvol gedownload op je computer.,Su imagen se ha descargado a su ordenador,Sua imagem foi descarregada no seu computador.,Your picture has been downloaded to your computer.
AT606,Canvas,0,G/Rails,G,friends,Friends,Friends,Friends,Friends,Друзья,Freunde,Arkadaşlar,Amici,Приятели,Prijatelji,Priprava ...,友達,朋友,Friends,الأصدقاء,Znajomi,Vrienden,Amigos,Amigos,Friends
AT607,Canvas,0,G/Rails,G,comments,Comments,Comments,Comments,Comments,Комментарии,Kommentare,Yorumlar,Commenti,Коментари,Komentari,Nalaganje ...,コメント,評論,Comments,التعليقات,Komentarze,Commentaar,Comentarios,Comentários,Comments
AT608,Canvas,0,G/Rails,G,send,Send,Send,Send,Send,Отправить,Senden,Gönder,Invia,Изпрати,Pošalji,Nalaganje ...,送信,傳送,Send,إرسال,Wyślij,Zenden,Enviar,Enviar,Send
AT609,Canvas,0,G/Rails,G,save,Save,Save,Save,Save,Сохранить,Speichern,Kaydet,Salva,Запази,Sačuvaj,Napaka pri nalaganju ...,セーブ,儲存,Save,حفظ,Zapisz,Opslaan,Guardar,Salvar,Save
AT610,Canvas,0,G/Rails,G,photos,Photos,Photos,Photos,Photos,Фотографии,Fotos,Fotoğraflar,Foto,Снимки,Fotografije,Delim ...,写真,照片,Photos,الصور,Zdjęcia,Foto's ,Fotos,Fotos,Photos
AT611,Canvas,0,G/Rails,G,unavailable_album,That photo album is unavailable. Please select another:,That photo album is unavailable.  Please select another:,That photo album is unavailable.  Please select another:,The photo album is unavailable. Please select another.,"Этот фотоальбом недоступен. Пожалуйста, выберите другой",Dieses Fotoalbum ist nicht verfügbar. Bitte wähle ein anderes.,Bu fotoğraf albümüne artık ulaşılamıyor. Lütfen başka bir tane seç.,Questo album non è disponibile.  Selezionane un altro:,"Няма достъп до този албум, моля, изберете друг",Ovaj foto-album je nedostupan. Molimo izaberite drugi.,Shranjevanje ...,そのアルバムはありません。ほかを選択してください,那個相簿無法使用。請選擇另一個：,That photo album is unavailable.  Please select another:,ألبوم الصور هذا غير متاح. من فضلك اختر واحداً آخر:,Ten album jest niedostępny. Wybierz inny album,Dat fotoalbum is niet beschikbaar. Kies een andere.,"Ese album de fotos no está disponible. Porfavor, seleccione otro","Este álbum de fotos não está disponível. Por favor, selecione outro",That photo album is unavailable.  Please select another:
AT612,Canvas,0,C/Rails,C,mobile_header,Turn yourself into a Walker from AMC's The Walking Dead!,Turn yourself into a Walker from FOX's The Walking Dead!,Turn yourself into a Walker from FX's The Walking Dead!,Turn yourself into a Walker from FOX's The Walking Dead!,"Превратите себя в Зомби из сериала FOX ""Ходячие Мертвецы""",Mach dich zu einem Zombie aus The Walking Dead von FOX!,Kendini FX'in The Walking Dead zombilerinden birine dönüştür!,Trasformati in uno zombie della serie FOX The Walking Dead!,"Превърнете се в зомби от сериала на FOX, Живите мъртви!","Preobratite se u Zombija iz serije ""Okružen mrtvima""!",,FOXのウォーキング・デッドのウォーカーに変身しよう,把你自己變成STAR MOVIES陰屍路裡面的活屍！,Turn yourself into a Walker from FOX's The Walking Dead!,"حول نفسك إلى أحد شخصيات ""الأموات السائرون"" في مسلسل The Walking Dead
على قناة FX!
",Przerób się na zombie z The Walking Dead na kanale FOX,Verander jezelf in een Walker uit The Walking Dead van FOX.,"Conviértete en un zombie de la serie de Fox ""The Walking Dead""","Transforme-se em um zumbi da série da FOX ""The Walking Dead""",Turn yourself into a Walker from FOX Movies Premium's The Walking Dead!
AT613,Canvas,0,G/Rails,G,home_get_started,TO GET STARTED,TO GET STARTED,TO GET STARTED,TO GET STARTED,ЧТОБЫ НАЧАТЬ,JETZT MITMACHEN,BAŞLAMAK İÇİN,PER INIZIARE,ЗАПОЧНЕТЕ,ZA POČETAK,,スタートする,開始,TO GET STARTED,للبدء,ABY ROZPOCZĄĆ,START,COMENZAR,COMEÇAR,TO GET STARTED
AT614,Canvas,0,G/Rails,G,home_call_to_action,Take a picture or upload one from Facebook,Take a picture or upload one from Facebook,Take a picture or upload one from Facebook,Take a picture or upload one from Facebook,Сделайте фотографию или загрузите ее из Facebook,"Foto
mit Webcam aufnehmen oder ein Bild aus Facebook hochladen",Bir fotoğraf çek ya da Facebook'tan yükle,Scatta una foto o caricane una da Facebook,Снимайте се или качете снимка от Facebook,Fotografišite se ili postavite fotografiju sa Fejsbuka,Deli,写真を撮影するか、フェイスブックからの写真をアップロードしよう,照一張相，或是由Facebook上傳一張,Take a picture or upload one from Facebook,التقط صورة أو أضف واحدة من الفيسبوك,Zrób zdjęcie lub załaduj zdjęcie z facebooka,Neem een foto of upload er één uit Facebook.,Toma una foto o impórtala desde Facebook,Tire uma foto ou use uma do Facebook,Take a picture or upload one from Facebook
AT615,Canvas,0,G/Rails,G,changes_saved,Your changes have been applied.,Your changes have been applied.,Your changes have been applied.,Your changes have been applied.,Ваши изменения приняты,Dein Änderungen wurden angewendet.,Yaptığın değişiklikler uygulandı.,Le tue modifiche sono state applicate.,Промените бяха нанесени,Promene su sačuvane,"Če misliš, da je ta fotografija neprimerna, jo označi. Naša ekipa jo bo pregledala.",変更内容が更新されました,已加入你做的改變,Your changes have been applied.,تم تنفيذ التغييرات التي أجريتها.,Twoje zmiany zostały wprowadzone,Je veranderingen zijn toegepast.,Tus cambios han sido guardados,Suas alterações foram salvas,Your changes have been applied.
AT616,Canvas,0,G/Rails,G,take_a_new_photo,Take a new photo,Take a new photo,Take a new photo,Take a new photo,Сделать новое фото,Nimm ein neues Foto auf,Yeni bir fotoğraf çek.,Scatta una nuova foto,Направете нова снимка,Napravi novu fotografiju,Označi kot neprimerno?,新しい写真を撮影する,照一張新相片,Take a new photo,التقط صورة جديدة,Zrób nowe zdjęcie,Neem een nieuwe foto.,Toma una nueva foto,Tire uma nova foto,Take a new photo
AT617,Canvas,0,G/Rails,G,cookies,Cookie Policy,Cookie Policy,Cookie Policy,Cookie Policy,Политика Куки,Cookie-Richtlinien,Çerez Politikası,Informativa sui cookie,Правила за Cookies,Pravila za Cookies,Zastavica za pregled,クッキーポリシー,Cookie政策,Cookie Policy,سياسة ملف تعريف الارتباط,Polityka plików cookie,Cookiebeleid,Política de Cookies,Política de Cookies,Cookie Policy
AT618,Canvas,0,G/Rails,G,menu_gallery,View Walker Gallery,View Walker Gallery,View Walker Gallery,View Walker Gallery,Просмотреть Галерею Ходячих Мертвецов,Beisser-Galerie ansehen,Zombi Galerisi'ni göster,Guarda la galleria zombie,"Виж галерията ""Живите мъртви""",Pogledaj galeriju zombija,Oglej si galerijo zombijev,ウォーカー・ギャラリーを閲覧する,觀看活屍照片集,View Walker Gallery,"استعرض معرض صور ""الأموات السائرون""",Zobacz galerię zombie,Bekijk Walker galerij,Ver galería de zombies,Ver galeria de zumbis,View Walker Gallery
AT619,Canvas,0,G/Flash,G,languagesText_Camera.xml,An error occurred. Please try again,An error occurred. Please try again ,"Something went wrong, please try again ","Something went wrong, please try again","Что-то пошло не так, пожалуйста, попробуйте снова","Etwas ist schiefgelaufen, bitte versuche es erneut","Bir hata oluştu, lütfen tekrar dene",Si è verificato un errore. Per favore riprova ,"Станала е грешка, моля, опитайте отново",Nešto nije u redu. Molimo vas pokušajte ponovo,"Prišlo je do napake, prosim, poskusite znova.",操作が違います。もう一度やり直してください,發生錯誤，請再試一次,"Something went wrong, please try again ",حدث خطأ. من فضلك حاول مجدداً,"Pojawił się błąd, spróbuj jeszcze raz",Een fout vond plaats. Probeer alsjeblieft opnieuw.,"Algo ha fallado, por favor prueba de nuevo","Um erro ocorreu. Por favor, tente de novo",An error occurred. Please try again 
AT620,Canvas,0,G/Flash,G,languagesText_Editor.xml,Upload Failed!,Upload Failed!,Upload Failed!,Upload Failed!,Загрузка не удалась!,Upload fehlgeschlagen,Yükleme başarısız!,Caricamento non riuscito!,Зареждането неуспешно!,Postavljanje nije uspelo!,Nalaganje ni uspelo!,アップロードできませんでした,上傳失敗！,Upload Failed!,فشلت الإضافة!,Ładowanie nie powiodło się,Upload mislukt!,Carga fallida!,Carregamento falhou!,Upload Failed!
AT621,Canvas,0,G/Flash,G,languagesText_Editor.xml,Loading Picture...,Loading Picture... ,Loading Picture... ,Loading Picture...,Идет загрузка фото...,Bild lädt...,Fotoğraf yükleniyor...,Caricamento foto... ,Зареждам снимка...,Učitavanje fotografije...,Nalaganje fotografije...,写真をロード中…,載入圖片...,Loading Picture... ,يتم الآن تحميل الصورة…,Ładuję zdjęcie...,Foto laden.,Cargando foto...,Carregando foto...,Loading Picture... 
AT622,Canvas,0,G/Flash,G,languagesText_Editor.xml,"Error loading picture, please reload the page","Error loading picture, please refresh the page","Error loading picture, please refresh the page","Error loading picture, please refresh the page","При загрузке фото произошла ошибка, пожалуйста, обновите страницу","Ein Fehler ist aufgetreten, bitte die Seite neu laden","Fotoğraf yüklenirken hata oluştu, lütfen sayfayı yenile",Errore nel caricamento della foto. Per favore ricarica la pagina,"Грешка при зареждането на снимката, моля обновете страницата",Greška prilikom učitavanja fotografije. Molimo osvežite stranu.,"Napaka med nalaganjem fotografije, prosimo, osvežite stran.",ロードした写真にエラーが発生しました。ページを更新してください,載入圖片錯誤，請重新載入頁面,"Error loading picture, please refresh the page",حدث خطأ أثناء تحميل الصورة، من فضلك قم بتحديث الصفحة,"Błąd w ładowaniu zdjęcia, proszę odśwież stronę","Er vond een fout plaats tijdens het laden van de foto, vernieuw de pagina alsjeblieft. ","Error al cargar la foto, por favor recarga la página","Erro ao carregar a foto, por favor, recarregue a página","Error loading picture, please refresh the page"
AT623,Canvas,0,G/Flash,G,languagesText_Editor.xml,There are no styles available,There are no styles available,There are no styles available,There are no styles available,Нет доступных стилей,Keine Styling-Elemente verfügbar,Mevcut stil yok,Non ci sono stili disponibili,Няма налични стилове,Nema raspoloživih stilova.,Slogi niso na voljo,スタイルがありません,沒有樣式可選擇,There are no styles available,لا توجد أنماط متاحة,Żaden styl nie jest dostępny,Er zijn geen stijlen beschikbaar.,No hay estilos disponibles,Não há estilos disponíveis,There are no styles available
AT624,Canvas,0,G/Flash,G,languagesText_Editor.xml,"Error obtaining styles, please refresh the page","Error obtaining styles, please refresh the page","Error obtaining styles, please refresh the page","Error obtaining styles, please refresh the page","Ошибка применения стилей, пожалуйста, обновите страницу","Ein Fehler ist aufgetreten, bitte die Seite neu laden","Stilleri yüklerken bir hata oluştu, lütfen sayfayı yenile",Errore nel caricamento degli stili. Per favore ricarica la pagina,"Грешка при зареждане на стилове, моля обновете страницата","Greška prilikom preuzimanja stilova, molimo osvežite stranu.","Napaka med nalaganjem slogov, prosimo, osvežite stran.",スタイル入手中にエラーが発生しました。ページを更新してください,取得樣式時發生錯誤，請重新載入頁面,"Error obtaining styles, please refresh the page",حدث خطأ أثناء الحصول على الإنماط. من فضلك قم بتحديث الصفحة.,"Błąd w dostępie do stylów, proszę odśwież stronę","Er vond een fout plaats tijdens het laden van de stijlen, vernieuw de pagina alsjeblieft.","Error obteniendo estilos, por favor refresca la página","Erro ao obter estilos. Por favor, recarregue a página","Error obtaining styles, please refresh the page"
AT625,Canvas,0,G/Flash,G,languagesText_Editor.xml,Incorrect Code! Try again,Incorrect Code!  Try again,Incorrect Code!  Try again,Incorrect Code! Try again,Неправильный Код! Попробуйте еще раз,Fehlerhafter Code! Versuche es erneut,Yanlış kod! Yeniden dene,Codice errato!  Riprova,Неверен код! Опитайте отново,Neispravan kod! Pokušajte ponovo.,Napačna koda! Poskusite znova,コードが違います。もう一度やり直してください,號碼錯誤！請再試一次,Incorrect Code!  Try again,الرمز غير صحيح! حاول مجدداً,Nieprawidłowy kod! Spróbuj ponownie,Foute code! Probeer opnieuw.,Código incorrecto! Prueba de nuevo!,Código incorreto! Tente de novo!,Incorrect Code!  Try again
AT206,iOS,0,Translations Strings,0,ConnectFacebookFriendsButton,Connect with Facebook, Connect with Facebook, Connect with Facebook,Connect with Facebook,Войти через Facebook,Mit Facebook verbinden,Facebook'la bağlan, Connettiti con Facebook,Свържете се с Facebook,Poveži se sa Fejsbukom,Poveži se s Facebookom,Facebookに接続する,連結Facebook, Connect with Facebook,اتصل مع الفيسبوك,Połącz się z facebookiem,Verbind met Facebook,Conectar con Facebook,Conectar ao Facebook, Connect with Facebook
AT207,iOS,0,Translations Strings,0,ErrorLoadingFriendsGalleryMessage,An error occurred while loading your Friends Gallery. Please verify your network connection and try again, An error occurred while loading your Friends Gallery. Please verify your network connection and try again, An error occurred while loading your Friends Gallery. Please verify your network connection and try again,An error occurred while loading your Friend's Gallery. Please verify your network connection and try again," При загрузке Галереи Друзей произошла ошибка. Пожалуйста, проверьте соединение с Интернетом и попробуйте снова ",Ein Fehler ist aufgetreten. Bitte prüfe deine Internetverbindung und versuche es erneut,Arkadaşlarının galerisi yüklenirken bir hata oluştu. Lütfen ağ bağlantını kontrol et ve tekrar dene., Si è verificato un errore nel caricamento della galleria dei tuoi amici. Verifica la connessione di rete e riprova,"Станала е грешка при зареждането на галерията Приятели. Моля, уверете се, че няма проблем с интернет връзката ви и опитайте отново",Došlo je do greške prilikom učitavanja Galerije prijatelja. Proverite internet konekciju i pokušajte ponovo.,Prišlo je do napake med nalaganjem galerije prijateljev. Preverite vašo omrežno povezavo in poskusite znova.,友達のギャラリーへのローディング中にエラーが発生しました。接続を確認して再度試してください,當載入你朋友的照片集時發生錯誤。請確定你的網路連結狀態後再試一次。, An error occurred while loading your Friends Gallery. Please verify your network connection and try again,حدث خطأ أثناء تحميل معرض صور أصدقائك. من فضلك تأكد من اتصالك بالشبكة وحاول مجدداً,Pojawił się błąd podczas ładowania galerii znajomych. Sprawdź swoje połączenie z internetem i spróbuj ponownie,Een fout vond plaats tijdens het laden van de galerij van je vriend. Check je netwerkverbinding en probeer opnieuw.,"Un error ha ocurrido mientras se cargan las galerías de tus amigos. Por favor, verifica tu conexión y prueba de nuevo.","Um erro ocorreu ao carregar as galerias de seus amigos. Por favor, verifique sua conexão e tente novamente.", An error occurred while loading your Friends Gallery. Please verify your network connection and try again
AT208,iOS,0,Translations Strings,0,ErrorLoadingPublicGalleryMessage,An error occurred while loading your Friends Gallery. Please verify your network connection and try again, An error occurred while loading your Friends Gallery. Please verify your network connection and try again, An error occurred while loading your Friends Gallery. Please verify your network connection and try again,An error occurred while loading your Friends Gallery. Please verify your network connection and try again," При загрузке Галереи Друзей произошла ошибка. Пожалуйста, проверьте соединение с Интернетом и попробуйте снова ",Ein Fehler ist aufgetreten. Bitte prüfe deine Internetverbindung und versuche es erneut,Arkadaşlarının galerisi yüklenirken bir hata oluştu. Lütfen ağ bağlantını kontrol et ve tekrar dene., Si è verificato un errore nel caricamento della galleria dei tuoi amici. Verifica la connessione di rete e riprova,"Станала е грешка при зареждането на галерията Приятели. Моля, уверете се, че няма проблем с интернет връзката ви и опитайте отново",Došlo je do greške prilikom učitavanja Galerije prijatelja. Proverite internet konekciju i pokušajte ponovo.,Prišlo je do napake med nalaganjem galerije prijateljev. Preverite vašo omrežno povezavo in poskusite znova.,友達のギャラリーへのローディング中にエラーが発生しました。接続を確認して再度試してください,當載入你朋友的照片集時發生錯誤。請確定你的網路連結狀態後再試一次。, An error occurred while loading your Friends Gallery. Please verify your network connection and try again,حدث خطأ أثناء تحميل معرض صور أصدقائك. من فضلك تأكد من اتصالك بالشبكة وحاول مجدداً,Pojawił się błąd podczas ładowania galerii znajomych. Sprawdź swoje połączenie z internetem i spróbuj ponownie,Een fout vond plaats tijdens het laden van de galerij van je vriend. Check je netwerkverbinding en probeer opnieuw.,"Un error ha ocurrido mientras se cargan las galerías de tus amigos. Por favor, verifica tu conexión y prueba de nuevo.","Um erro ocorreu enquanto carregavam as galerias dos seus amigos. Por favor, verifique sua conexão e teste novamente.", An error occurred while loading your Friends Gallery. Please verify your network connection and try again
AT209,iOS,0,Translations Strings,0,ErrorMoreAd,This image can't be modified, This image can't be modified, This image can't be modified,This image can't be modified,Фото нельзя изменить,Dieses Bild kann nicht verändert werden,Bu fotoğrafta değişiklik yapılamıyor., Questa immagine non può essere modificata,Това изображение не може да бъде променяно,Ova slika se ne može menjati,Fotografije ne morete urejati,このイメージは編集できません,這個影像無法被調整。, This image can't be modified,لا يمكن تعديل هذه الصورة,To zdjęcie nie może być zmienione,Deze afbeelding kan niet aangepast worden,Esta imagen no puede ser modificada,Esta imagem não pode ser modificada., This image can't be modified
AT210,iOS,0,Translations Strings,0,ErrorNoPicturesOptions,You don't have any photos yet. Tap the camera icon below to make your own Walker photos!, You don't have any photos yet. Tap the camera icon below to make your own Walker photos!, You don't have any photos yet. Tap the camera icon below to make your own Walker photos!, You don't have any photos yet. Tap the camera icon below to make your own Walker photos!,"У вас пока нет фотографий. Кликните на иконку камеры ниже, чтобы создать свой зомбилук! ",Du hast noch keine Fotos. Klicke unten auf das Kamera-Symbol und gestalte deine eigenen Beisser-Fotos!,Henüz hiç fotoğrafın yok. Kendi zombi fotoğrafını yapmak için aşağıdaki kamera simgesine dokun., Non hai ancora nessuna foto. Tocca l’icona della macchina fotografica qui sotto per scattare le tue foto zombie!,"Все още нямате снимки. Кликнете върху иконата ""камера"", за да създадете свои зомби снимки!",Nemate fotografije. Kliknite na ikonu kamere ispod da napravite sopstvene zombi fotografije!,Nimate še fotografij. Kliknite na ikono spodaj in ustvarite svojo fotografijo zombija!,写真がまだありません。カメラを起動してウォーカー写真を撮りましょう！,你現在還沒有任何照片。點選下方的相機圖示來製作你的活屍照！, You don't have any photos yet. Tap the camera icon below to make your own Walker photos!,"لم تضف أي صورة بعد. انقر على أيقونة الكاميرا بالأسفل لإنشاء صور
""""الأموات السائرون"""" الخاصة بك!","Nie masz jeszcze żadnych zdjęć. Naciśnij ikonkę kamery poniżej, aby zrobić swoje zombie-zdjęcie",Je hebt nog geen foto's. Klik op het cameraicoon om een foto te maken.,Todavía no tienes ninguna foto. Toca en el icono de la cámara para hacer tu foto de zombie,Você ainda não tem nenhuma foto. Toque no ícone da câmera para fazer sua foto de zumbi, You don't have any photos yet. Tap the camera icon below to make your own Walker photos!
AT211,iOS,0,Translations Strings,0,FacebookPostButton,Post, Post, Post,Post,Опубликовать,Post,Paylaş, Pubblica,Публикуване,Okači,Objavi,投稿する,發表, Post,انشر,Opublikuj,Post,Publicar,Publicar, Post
AT212,iOS,0,Translations Strings,0,InviteFriendsButton,Invite with Facebook, Invite with Facebook, Invite with Facebook,Invite with Facebook,Пригласить через Facebook,Über Facebook einladen,Facebook arkadaşlarını davet et, Invita con Facebook,Поканете приятели от  Facebook,Pozovi prijatelje s Fejsbuka,Povabi s Facebookom,Facebookに招待する,透過Facebook邀請, Invite with Facebook,وجه دعوة عبر الفيسبوك,Zaproś przez facebooka,Uitnodigen via Facebook,Invitar con Facebook,Convidar com Facebook, Invite with Facebook
AT213,iOS,0,Translations Strings,0,InviteFriendsMessage,No photos of your friends? Invite your Facebook friends to create their own Walker photo, No photos of your friends? Invite your Facebook friends to create their own Walker photo, No photos of your friends? Invite your Facebook friends to create their own Walker photo,No photos of your friends? Invite your Facebook friends to create their own Walker photo, Нет фото ваших друзей? Предложите вашим друзьям в Facebook создать зомбилук!,Keine Fotos von deinen Freunden? Lade deine Facebook-Freunde ein ihre eigenen Beisser-Fotos zu erstellen,Arkadaşlarının fotoğrafı yok mu? Kendi zombi fotoğraflarını yapmaları için Facebook arkadaşlarını davet et. , Non ci sono foto dei tuoi amici? Invita i tuoi amici di Facebook a creare le loro foto zombie,Нямате снимки на приятели? Поканете приятелите си от  Facebook да създадат свои зомби снимки,Nemate fotografije prijatelja? Pozovite prijatelje sa Fejsbuka da naprave svoje zombi fotografije!,"Nimate fotografij prijateljev? Povabite svoje prijatelje na Facebooku, naj ustvarijo svojo fotografijo zombija.",友達の写真がないですか？友達を招待してウォーカー写真を作ってもらいましょう！,沒有你朋友的照片嗎？邀請你的Facebook朋友來創造他們的活屍照, No photos of your friends? Invite your Facebook friends to create their own Walker photo,"لا توجد صور لأصدقائك؟ وجه دعوة لأصدقائك عبر الفيسبوك لإنشاء صور ""الأموات السائرون"" الخاصة بهم","Nie ma zdjęć znajomych? Zaproś znajomych z facebooka, aby stworzyli swoje własne zombie-zdjęcia",Geen foto's van je vrienden? Nodig ze uit om hun eigen foto te maken!,No tienes fotos de amigos? Invita a tus amigos de Facebook para crear tu foto de zombie,Não tem fotos dos seus amigos? Convide os seus amigos do Facebook para criar a foto de zumbi, No photos of your friends? Invite your Facebook friends to create their own Walker photo
AT214,iOS,0,Translations Strings,0,LoginToInviteFriendsMessage,No photos of your friends? Connect with Facebook and invite your friends to join!, No photos of your friends? Connect with Facebook and invite your friends to join!, No photos of your friends? Connect with Facebook and invite your friends to join!, No photos of your friends? Connect with Facebook and invite your friends to join!, Нет фото ваших друзей? Войдите в Facebook и пригласите друзей!,Keine Fotos von deinen Freunden? Verbinde dich mit Facebook und lade deine Freunde ein ebenfalls teilzunehmen!,Arkadaşlarının fotoğrafı yok mu? Facebook ile bağlan ve katılmaları için arkadaşlarını davet et!, Non ci sono foto dei tuoi amici? Connettiti con Facebook e invita i tuoi amici a giocare!,Нямате снимки на приятели? Свържете се с  Facebook и поканете приятелите си да се включат!,Nemate fotografije prijatelja? Idite na Fejsbuk i pozovite prijatelje da se pridruže!,Nimate fotografij prijateljev? Prijavite se na Facebook in povabite prijatelje!,友達の写真がないですか？Facebookにアクセスして友達を招待しましょう！,沒有你朋友的照片嗎？邀請你的Facebook朋友來創造他們的活屍照, No photos of your friends? Connect with Facebook and invite your friends to join!,لا توجد صور لأصدقائك؟ اتصل مع الفيسبوك ووجه دعوة لأصدقائك للانضمام!,Nie ma zdjęć znajomych? Połącz się z facebookiem i zaproś znajomych!,Geen foto's van je vrienden? Verbind met Facebook en nodig je vrienden uit!,No tienes fotos de amigos? Conecta con Facebook e invita a tus amigos!,Não tem fotos de amigos? Conecte-se ao Facebook e convide seus amigos!, No photos of your friends? Connect with Facebook and invite your friends to join!
AT215,iOS,0,Translations Strings,0,NoWalkersCreatedMessage,You haven't created any Walker photos yet. Tap the camera button below to make your own Walker photo!, You haven't created any Walker photos yet. Tap the camera button below to make your own Walker photo!, You haven't created any Walker photos yet. Tap the camera button below to make your own Walker photo!, You haven't created any Walker photos yet. Tap the camera button below to make your own Walker photo!," Вы еще не создали зомбилук. Кликните на иконку камеры ниже, чтобы создать свой зомбилук! ",Du hast noch keine Beisser-Fotos erstellt. Klicke unten auf das Kamera-Symbol und gestalte deine eigenen Beisser-Fotos!,Henüz zombi fotoğrafın yok. Kendi zombi fotoğrafını yapmak için aşağıdaki kamera simgesine dokun!,Non hai ancora creato una foto zombie. Tocca il pulsante con la macchina fotografica qui sotto per creare la tua foto zombie!,"Все още не сте създали свои изображения на ""бродещи"". Кликнете върху иконата ""камера"", за да създадете свои зомби снимки!",Nemate fotografije. Kliknite na ikonu kamere ispod da napravite sopstvene zombi fotografije!,Niste še ustvarili fotografij zombijev. Kliknite na ikono spodaj in ustvarite svojo fotografijo zombija!,あなたはまだウォーカーの写真を作っていません。カメラを立ち上げてウォーカー写真を作ろう！,你現在還沒有任何照片。點選下方的相機圖示來製作你的活屍照！, You haven't created any Walker photos yet. Tap the camera button below to make your own Walker photo!,"!لم تنشئ أي صورة من صور ""السائرون"" بعد. أنقر على أيقونة الكاميرا بالأسفل لإنشاء ألبوم صور ""الأموات السائرون"" الخاص بك","Nie masz jeszcze żadnych zombie-zdjęć. Naciśnij ikonkę kamery poniżej, żeby je stworzyć. ",Je hebt nog geen Walker foto's gemaakt. Klik op het cameraicoon om je eigen foto te maken!,No tienes fotos de amigos? Invita a tus amigos de Facebook para crear tu foto de zombie,Você ainda não criou nenhuma foto Walker. Toque no botão da câmera para fazer sua própria foto Walker!, You haven't created any Walker photos yet. Tap the camera button below to make your own Walker photo!
